sha256,group_size,batch_set,class_set,path
2c19706d3021ea359fdd3b13d35987c1726cd0678ca530c0457a248bf407d522,5,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00121.jpg
2c19706d3021ea359fdd3b13d35987c1726cd0678ca530c0457a248bf407d522,5,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00254.jpg
2c19706d3021ea359fdd3b13d35987c1726cd0678ca530c0457a248bf407d522,5,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00274.jpg
2c19706d3021ea359fdd3b13d35987c1726cd0678ca530c0457a248bf407d522,5,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_049.jpg"
2c19706d3021ea359fdd3b13d35987c1726cd0678ca530c0457a248bf407d522,5,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_069.jpg"
fb40779a4f5f29ab0799527a735bb554a4d68a5c77ffc060420052cb871b9889,5,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00122.jpg
fb40779a4f5f29ab0799527a735bb554a4d68a5c77ffc060420052cb871b9889,5,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00255.jpg
fb40779a4f5f29ab0799527a735bb554a4d68a5c77ffc060420052cb871b9889,5,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00275.jpg
fb40779a4f5f29ab0799527a735bb554a4d68a5c77ffc060420052cb871b9889,5,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_050.jpg"
fb40779a4f5f29ab0799527a735bb554a4d68a5c77ffc060420052cb871b9889,5,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_070.jpg"
1aee65c094ad083154ee8c17cbcd2722d9e27c71ac76a25560e4ee47f22ab809,4,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00209.jpg
1aee65c094ad083154ee8c17cbcd2722d9e27c71ac76a25560e4ee47f22ab809,4,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00257.jpg
1aee65c094ad083154ee8c17cbcd2722d9e27c71ac76a25560e4ee47f22ab809,4,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_003.jpg"
1aee65c094ad083154ee8c17cbcd2722d9e27c71ac76a25560e4ee47f22ab809,4,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_052.jpg"
25467bf52ec8f19fbfd684930de4bc62a9395bab3fe4c93a6054ac72a8ebc345,4,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00214.jpg
25467bf52ec8f19fbfd684930de4bc62a9395bab3fe4c93a6054ac72a8ebc345,4,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00253.jpg
25467bf52ec8f19fbfd684930de4bc62a9395bab3fe4c93a6054ac72a8ebc345,4,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_008.jpg"
25467bf52ec8f19fbfd684930de4bc62a9395bab3fe4c93a6054ac72a8ebc345,4,new_20260626+old_20260603,ブレース,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/ブレース/brace_048.jpg"
29979f79e19583d94e63825f25c9de86544f94582362dc362079af7335be3e1e,4,new_20260626+old_20260603,柱脚,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/柱脚/f-00211.jpg
29979f79e19583d94e63825f25c9de86544f94582362dc362079af7335be3e1e,4,new_20260626+old_20260603,柱脚,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/柱脚/f-00303.jpg
29979f79e19583d94e63825f25c9de86544f94582362dc362079af7335be3e1e,4,new_20260626+old_20260603,柱脚,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/柱脚/columnbase_001.jpg"
29979f79e19583d94e63825f25c9de86544f94582362dc362079af7335be3e1e,4,new_20260626+old_20260603,柱脚,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/柱脚/columnbase_057.jpg"
32184a95fec304928725908f2c712b5724c66d64409b8f0f22e2e26d4d7a9883,4,new_20260626+old_20260603,柱脚,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/柱脚/f-00212.jpg
32184a95fec304928725908f2c712b5724c66d64409b8f0f22e2e26d4d7a9883,4,new_20260626+old_20260603,柱脚,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/柱脚/f-00304.jpg
32184a95fec304928725908f2c712b5724c66d64409b8f0f22e2e26d4d7a9883,4,new_20260626+old_20260603,柱脚,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/柱脚/columnbase_002.jpg"
32184a95fec304928725908f2c712b5724c66d64409b8f0f22e2e26d4d7a9883,4,new_20260626+old_20260603,柱脚,"data/raw_new_classes_20260630/extracted/1uGRLTk7tVs8Lv0SOzTDRZ7Y7MNadZrtg/20260603_アノテーションモデル用データ_ブレース,柱脚/柱脚/columnbase_058.jpg"
4aa655526508b072b4460aea73deed503c1e248d24ff46acd23e1746186fc2c4,4,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00211.jpg
4aa655526508b072b4460aea73deed503c1e248d24ff46acd23e1746186fc2c4,4,new_20260626+old_20260603,ブレース,data/raw_new_classes_20260630/extracted/1QoykPgS4pggCKbQ_8Cxebydpx7G3sdav/ブレース/e-00250.jpg
